;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight;1;2
nat.tax.brepl.glmm.29;nat.tax.brepl;-1.387563;NA;NA;NA;NA;3;14.51482;-21.02964;1.460713;0.204866723;0;1.60050417363777e-10
nat.tax.brepl.glmm.30;nat.tax.brepl;-1.464349;NA;0.6452681;NA;-0.9355874;5;18.37436;-20.74871;1.741639;0.178020166;0.316667520208289;0.316371284041256
nind.tax.btotal.glmm.31;nind.tax.btotal;0.08314883;NA;NA;NA;NA;3;39.8063;-71.61261;0;0.41275544;0;1.33296629289958e-09
nind.tax.btotal.glmm.32;nind.tax.btotal;0.38456773;NA;NA;NA;-0.529219;4;40.99957;-70.36277;1.249834;0.22095038;0.236102681484134;0.183752903835581
nind.tax.brich.glmm.33;nind.tax.brich;-0.944645852;NA;1.7806856;NA;-1.3111921;5;40.72686;-65.45371;0;0.575109103;0.760559982657073;0.687106534293798
nind.tax.brepl.glmm.34;nind.tax.brepl;-1.807349;NA;NA;NA;NA;3;42.42287;-76.84573;0;0.569840237;0;1.72449987623224e-09
end.tax.btotal.glmm.35;end.tax.btotal;-0.8174266;NA;NA;NA;-0.8701396;4;15.01369;-18.391009;0;0.653738624;0.499009425951626;0.454664669261525
end.tax.brich.glmm.36;end.tax.brich;-1.677271;NA;NA;NA;-0.8978862;4;23.38363;-35.1309;0;0.603121374;0.453515003130784;0.428960706399655
end.tax.brepl.glmm.37;end.tax.brepl;-2.036025;NA;NA;NA;NA;3;32.09395;-56.1879;0;0.554101157;0;1.76077263880359e-10
all.func.btotal.glmm.38;all.func.btotal;-0.4628506;NA;NA;NA;-0.9136343;4;12.409432;-13.182501;0;0.540825639;0.52183497988804;0.472991812882811
all.func.btotal.glmm.39;all.func.btotal;-0.7946004;NA;0.6755272;NA;-1.3194505;5;14.027004;-12.054008;1.128494;0.307615361;0.647541284895061;0.627237237755122
all.func.brich.glmm.40;all.func.brich;-1.405718;NA;NA;NA;-0.6482599;4;20.09437;-28.55237;0;0.443943425;0.241764142184006;0.216110754120856
all.func.brich.glmm.41;all.func.brich;-1.770147;NA;0.6725439;NA;-1.0359106;5;21.78038;-27.56076;0.9916162;0.270396402;0.356332623139944;0.352595505224353
all.func.brepl.glmm.42;all.func.brepl;-1.318485;NA;NA;NA;-1.008055;4;19.70359;-27.77081;0;0.696894744;0.595393792105631;0.56210792727591
nat.func.btotal.glmm.43;nat.func.btotal;-0.4708122;NA;NA;NA;-0.9111336;4;12.41961;-13.202856;0;0.546940996;0.52122318145299;0.475660303649742
nat.func.btotal.glmm.44;nat.func.btotal;-0.8025186;NA;0.67307282;NA;-1.3142865;5;0,83125;-12.0714;1.131456;0.310633297;0.650425692561774;0.632172957214109
nat.func.brich.glmm.45;nat.func.brich;-1.468752;NA;NA;NA;-0.5562986;4;20.50371;-29.37105;0;0.39989443;0.163959987623041;0.148694533442115
nat.func.brich.glmm.46;nat.func.brich;-1.701118;NA;NA;NA;NA;3;1,23125;-28.1386;1.232455;0.2159341;0;1.09544706639042e-10
nat.func.brich.glmm.47;nat.func.brich;-1.790934;NA;0.5989902;NA;-0.877992;5;21.75716;-27.51433;1.856723;0.15803856;0.256493115997494;0.252899982828648
nat.func.brepl.glmm.48;nat.func.brepl;-1.282805;NA;NA;NA;-1.066402;4;19.49098;-27.3456;0;0.691832814;0.639696803003;0.59542626628244
nind.func.btotal.glmm.49;nind.func.btotal;0.024822795;NA;NA;NA;NA;3;35.07434;-62.14868;0;0.3470118;0;1.99776495346526e-09
nind.func.btotal.glmm.50;nind.func.btotal;-0.271131601;NA;1.1627129;NA;-1.0858445;5;38.70261;-61.40523;0.7434496;0.2392799;0.498083586273161;0.43222290878546
nind.func.btotal.glmm.51;nind.func.btotal;0.322414522;NA;NA;NA;-0.5240481;4;36.27319;-60.91001;1.2386672;0.18679751;0.249944351008778;0.190429317478927
nind.func.brich.glmm.52;nind.func.brich;-0.53017176;NA;1.4314713;NA;-1.2064983;5;36.90598;-57.81196;0;0.41400164;0.583001348927287;0.522586245583086
nind.func.brich.glmm.53;nind.func.brich;-0.05713001;NA;NA;NA;NA;3;32.40343;-56.80686;1.005097;0.25046556;0;7.14143943980616e-09
nind.func.brepl.glmm.54;nind.func.brepl;-2.591059;NA;NA;NA;NA;3;47.36899;-86.73798;0;0.571238485;0;1.06723341275483e-09
end.func.btotal.glmm.55;end.func.btotal;-0.4871442;NA;NA;NA;-0.8784076;4;12.397409;-13.158455;0;0.515936209;0.460093815652387;0.417870202667554
end.func.btotal.glmm.56;end.func.btotal;-0.8436448;NA;0.71308059;NA;-1.3094328;5;14.131189;-12.262378;0.896077;0.329621371;0.612720245535601;0.593820686423505
end.func.brich.glmm.57;end.func.brich;-1.394539;NA;NA;NA;-0.5369202;4;19.96723;-28.2981;0;0.392399024;0.151952705284853;0.135415769405983
end.func.brich.glmm.58;end.func.brich;-1.624507;NA;NA;NA;NA;3;17.75275;-27.5055;0.7925967;0.264008397;0;9.68282121149855e-11
end.func.brepl.glmm.59;end.func.brepl;-1.359539;NA;NA;NA;-0.8253351;4;19.70265;-27.76894;0;0.598382033;0.440465957956554;0.3759762494347
